id_client,nom,prenom,date_naissance,nationalite,pays_residence,risque_pays,classification_pays,profession,secteur_activite,segment,patrimoine_declare,revenus_declare,structure_juridique,est_pep,type_pep,est_mep,est_sous_sanctions,est_declare_crf,screening_worldcheck,screening_dowjones,date_entree_relation
CLI_0001,Marques,Raymond,1956-12-03,Belgium,Belgium,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,539655.18,47584.45,physique,False,,False,False,False,clear,clear,2019-08-07
CLI_0002,Gérard,Astrid,1982-05-11,France,France,0,FAIBLE,Expert comptable,Finance,HNWI,1799851.99,164233.97,physique,False,,False,False,False,clear,clear,2025-04-29
CLI_0003,Humbert,Adélaïde,1975-06-26,Belgium,Belgium,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,3120119.86,234410.1,physique,False,,False,False,False,clear,clear,2018-11-10
CLI_0004,Hamel,Jacqueline,1983-09-22,France,France,0,FAIBLE,Chef d'entreprise,Commerce,mass_affluent,813590.09,89754.84,physique,False,,False,False,False,clear,clear,2018-01-23
CLI_0005,Allain,Thérèse,1951-05-26,France,France,0,FAIBLE,Entrepreneur tech,Technologie,mass_affluent,402857.69,43664.83,physique,False,,False,False,False,clear,clear,2019-01-01
CLI_0006,Lenoir,Nathalie,1981-01-06,Portugal,Portugal,0,FAIBLE,Directeur financier,Finance,HNWI,1683026.35,128855.66,physique,False,,False,False,False,clear,clear,2018-08-11
CLI_0007,Allain,Nathalie,1963-11-19,Belgium,Belgium,0,FAIBLE,Rentier,Patrimoine,mass_affluent,832081.05,45459.25,physique,False,,False,False,False,clear,clear,2024-06-12
CLI_0008,Jacquot,Josette,1980-06-21,France,France,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,3392929.65,302974.26,physique,False,,False,False,False,clear,clear,2021-03-11
CLI_0009,Jacquet,Jérôme,1951-06-13,France,France,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1427403.95,86641.84,physique,False,,False,False,False,clear,clear,2023-04-02
CLI_0010,Pascal,Christiane,1945-10-06,France,France,0,FAIBLE,Expert comptable,Finance,mass_affluent,549642.87,31889.52,physique,False,,False,False,False,clear,clear,2018-03-13
CLI_0011,Regnier,Franck,1956-12-31,France,France,0,FAIBLE,Entrepreneur tech,Technologie,mass_affluent,367556.72,31257.4,physique,False,,False,False,False,clear,clear,2024-03-30
CLI_0012,Chrétien,Susan,1961-09-22,Norway,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,367216.95,42072.19,physique,False,,False,False,False,clear,clear,2018-09-04
CLI_0013,Dias,Émile,1993-08-28,Italy,France,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,2348702.46,273122.3,physique,False,,False,False,False,clear,clear,2024-03-09
CLI_0014,Vaillant,Claudine,1958-02-11,Italy,Italy,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,1000000.0,92461.57,physique,False,,False,False,False,clear,clear,2017-08-06
CLI_0015,Lecoq,Clémence,1952-05-15,Belgium,Belgium,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,1000000.0,67353.39,physique,False,,False,False,False,clear,clear,2019-12-15
CLI_0016,Morvan,Joseph,1966-05-14,France,Belgium,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,353304.29,19417.61,physique,False,,False,False,False,clear,clear,2017-04-06
CLI_0017,Couturier,Franck,1988-11-02,France,France,0,FAIBLE,Héritier,Patrimoine,HNWI,1000000.0,56785.16,physique,False,,False,False,False,clear,clear,2022-02-21
CLI_0018,Brunel,Monique,1981-10-20,Sweden,Portugal,0,FAIBLE,Directeur financier,Finance,mass_affluent,501670.56,28920.72,physique,False,,False,False,False,clear,clear,2021-01-12
CLI_0019,Gaillard,Henriette,1949-07-02,France,France,0,FAIBLE,Médecin chirurgien,Santé,mass_affluent,307672.25,29428.89,physique,False,,False,False,False,clear,clear,2022-05-18
CLI_0020,Leroy,Élisabeth,1988-11-18,Portugal,Portugal,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1000000.0,50150.88,physique,False,,False,False,False,clear,clear,2017-01-30
CLI_0021,Da Costa,Raymond,1995-12-30,France,France,0,FAIBLE,Directeur financier,Finance,HNWI,5531414.56,391455.71,physique,False,,False,False,False,clear,clear,2024-04-14
CLI_0022,Cordier,Jacqueline,1987-04-26,Portugal,Portugal,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1692905.07,144824.63,physique,False,,False,False,False,clear,clear,2023-11-12
CLI_0023,Briand,Valentine,1970-09-29,Finland,Finland,0,FAIBLE,Médecin chirurgien,Santé,HNWI,2078734.27,164938.72,physique,False,,False,False,False,clear,clear,2024-02-12
CLI_0024,Louis,Luce,1962-06-12,France,France,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,1000000.0,115031.28,physique,False,,False,False,False,clear,clear,2022-07-08
CLI_0025,Legrand,Agnès,1987-05-02,Sweden,Belgium,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1354485.31,151091.37,physique,False,,False,False,False,clear,clear,2022-01-15
CLI_0026,Leblanc,Bernard,1978-05-24,Portugal,Portugal,0,FAIBLE,Expert comptable,Finance,HNWI,2142846.86,206650.17,physique,False,,False,False,False,clear,clear,2022-04-21
CLI_0027,Teixeira,Marthe,1994-12-25,France,France,0,FAIBLE,Notaire,Juridique,HNWI,1000000.0,109703.9,physique,False,,False,False,False,clear,clear,2022-12-20
CLI_0028,Texier,Laurence,1969-04-25,France,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,514154.56,35135.71,physique,False,,False,False,False,clear,clear,2021-05-10
CLI_0029,Pinto,Audrey,1988-11-29,France,France,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1302183.35,78608.34,physique,False,,False,False,False,clear,clear,2021-12-08
CLI_0030,Marchand,Pénélope,1963-03-07,Italy,Italy,0,FAIBLE,Rentier,Patrimoine,mass_affluent,393691.35,35114.06,physique,False,,False,False,False,hit,clear,2019-02-22
CLI_0031,Leclerc,Gilles,1978-02-26,Luxembourg,Luxembourg,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1301210.28,132150.28,physique,False,,False,False,False,clear,clear,2019-09-06
CLI_0032,Bourdon,Margaux,1960-01-15,France,Finland,0,FAIBLE,Banquier privé,Finance,HNWI,7250599.62,475424.43,physique,False,,False,False,False,clear,clear,2017-10-24
CLI_0033,Perrin,Daniel,1977-01-18,Belgium,Italy,0,FAIBLE,Chef d'entreprise,Commerce,mass_affluent,440031.29,30599.23,physique,False,,False,False,False,clear,hit,2022-06-30
CLI_0034,Bertrand,Valérie,1987-03-22,Belgium,Belgium,0,FAIBLE,Héritier,Patrimoine,HNWI,1000000.0,91759.99,physique,False,,False,False,False,clear,clear,2023-04-14
CLI_0035,Marchand,Gabriel,1993-12-29,Norway,Norway,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,614778.9,70570.63,physique,False,,False,False,False,clear,clear,2022-08-25
CLI_0036,Prévost,Jules,1964-08-19,Belgium,Belgium,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,1000000.0,58723.77,physique,False,,False,False,False,clear,clear,2025-04-11
CLI_0037,Gérard,Édouard,1974-06-10,France,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,480962.91,54443.26,physique,False,,False,False,False,clear,clear,2021-02-20
